FECHA	TMAX	TMIN	NOMBRE
28/10/2023	27.8	12.4	MAR DEL PLATA AERO
28/10/2023	29.5	10.2	MARCOS JUAREZ AERO
28/10/2023	29.0	16.5	MARIANO MORENO AERO
28/10/2023	34.1	13.2	MENDOZA AERO
28/10/2023	30.7	11.8	MENDOZA OBSERVATORIO
28/10/2023	28.0	19.5	MERCEDES AERO (CTES)
28/10/2023	30.0	17.2	MERLO AERO
28/10/2023	32.5	17.5	METAN
28/10/2023	29.6	18.0	MONTE CASEROS AERO
28/10/2023	29.6	17.5	MORON AERO
28/10/2023	23.2	15.5	NEUQUEN AERO
28/10/2023	29.5	12.9	NUEVE DE JULIO
28/10/2023	23.0	19.8	OBERA
28/10/2023	27.7	12.5	OLAVARRIA AERO
28/10/2023	36.2	19.3	ORAN AERO
28/10/2023	30.5	15.1	PARANA AERO
28/10/2023	17.1	6.2	PASO DE INDIOS
28/10/2023	27.6	19.5	PASO DE LOS LIBRES AERO
28/10/2023	30.2	10.7	PEHUAJO AERO
28/10/2023	10.9	2.0	PERITO MORENO AERO
28/10/2023	28.5	8.3	PIGUE AERO
28/10/2023	32.2	11.0	PILAR OBSERVATORIO
28/10/2023	24.0	19.8	POSADAS AERO
28/10/2023	32.0	22.8	PRESIDENCIA ROQUE SAENZ PE?A AERO
28/10/2023	19.0	4.7	PUERTO DESEADO AERO
28/10/2023	23.6	12.1	PUERTO MADRYN AERO
28/10/2023	25.4	18.0	PUNTA INDIO B.A.
28/10/2023	30.8	14.5	RAFAELA AERO
28/10/2023	30.7	18.8	RECONQUISTA AERO
28/10/2023	27.9	21.8	RESISTENCIA AERO
28/10/2023	31.5	8.2	RIO CUARTO AERO
28/10/2023	8.4	-0.4	RIO GALLEGOS AERO
28/10/2023	8.0	-0.5	RIO GRANDE B.A.
28/10/2023	36.0	22.3	RIVADAVIA
28/10/2023	28.2	12.8	ROSARIO AERO
28/10/2023	33.0	12.0	SALTA AERO
28/10/2023	27.2	12.6	SAN ANTONIO OESTE AERO
28/10/2023	28.1	16.6	SAN FERNANDO AERO
28/10/2023	38.5	13.0	SAN JUAN AERO
